symbol,date,open,high,low,close,volume,change,changePercent,vwap
^RUT,2022-08-25,1944.380005,1964.640015,1943.199951,1964.640015,3566870000,20.26001,1.04,1957.49
^RUT,2022-08-26,1965.22998,1965.310059,1898.51001,1899.829956,3832750000,-65.40002,-3.33,1921.22
^RUT,2022-08-29,1880.630005,1898.670044,1879.130005,1882.939941,3396510000,2.30994,0.12283,1886.91
^RUT,2022-08-30,1889.160034,1889.349976,1847.540039,1855.589966,3835860000,-33.57007,-1.78,1864.16
^RUT,2022-08-31,1859.180054,1865.280029,1843.079956,1844.119995,4542490000,-15.06006,-0.81004,1850.83
^RUT,2022-09-01,1826.75,1826.75,1799.170044,1822.819946,4152250000,-3.93005,-0.21514,1816.25
^RUT,2022-09-02,1844.170044,1846.97998,1802.140015,1809.75,3665850000,-34.42004,-1.87,1819.62
^RUT,2022-09-06,1813.180054,1815.150024,1786.680054,1792.319946,4127340000,-20.86011,-1.15,1798.05
^RUT,2022-09-07,1789.560059,1832.569946,1787.430054,1832.0,3890320000,42.43994,2.37,1817.33
^RUT,2022-09-08,1823.48999,1846.910034,1810.51001,1846.910034,3966850000,23.42004,1.28,1834.78
^RUT,2022-09-09,1857.140015,1884.900024,1857.140015,1882.849976,3901940000,25.70996,1.38,1874.96
^RUT,2022-09-12,1889.800049,1906.089966,1889.800049,1906.089966,3814200000,16.28992,0.86199,1900.66
^RUT,2022-09-13,1879.540039,1879.540039,1825.420044,1831.569946,4224550000,-47.97009,-2.55,1845.51
^RUT,2022-09-14,1832.689941,1840.589966,1817.52002,1838.459961,4293240000,5.77002,0.31484,1832.19
^RUT,2022-09-15,1830.969971,1853.030029,1818.410034,1825.22998,4441830000,-5.73999,-0.31349,1832.22
^RUT,2022-09-16,1813.859985,1813.859985,1778.77002,1798.189941,7954650000,-15.67004,-0.86391,1796.94
^RUT,2022-09-19,1785.719971,1813.939941,1777.27002,1812.839966,3766850000,27.12,1.52,1801.35
^RUT,2022-09-20,1801.48999,1801.48999,1776.310059,1787.5,4058050000,-13.98999,-0.77658,1788.43
^RUT,2022-09-21,1796.199951,1813.660034,1761.969971,1762.160034,4078330000,-34.03992,-1.9,1779.26
^RUT,2022-09-22,1760.150024,1760.310059,1716.209961,1722.310059,4284600000,-37.83997,-2.15,1732.94
